>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346

>AT1G78490 | Symbols: CYP708A3 | cytochrome P450, family 708, subfamily A, polypeptide 3 | chr1:29528349-29530391 FORWARD LENGTH=479

>AT1G52490 | Symbols:  | CONTAINS InterPro DOMAIN/s: F-box domain, cyclin-like (InterPro:IPR001810), F-box domain, Skp2-like (InterPro:IPR022364), F-box associated domain, type 3 (InterPro:IPR013187), F-box associated interaction domain (InterPro:IPR017451); BEST Arabidopsis thaliana protein match is: F-box and associated interaction domains-containing protein (TAIR:AT1G32420.1); Has 1577 Blast hits to 1056 proteins in 31 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1577; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:19556218-19559011 REVERSE LENGTH=513

>AT1G52500 | Symbols: FPG-1, ATFPG-1, ATMMH-1, MMH-1 | MUTM homolog-1 | chr1:19560043-19562855 FORWARD LENGTH=390

>AT1G58460 | Symbols:  | unknown protein; Has 35 Blast hits to 35 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:21721404-21722429 FORWARD LENGTH=177

>AT1G30600 | Symbols:  | Subtilase family protein | chr1:10841341-10844906 REVERSE LENGTH=832

>AT1G30630 | Symbols:  | Coatomer epsilon subunit | chr1:10858546-10860173 REVERSE LENGTH=292

>AT1G64510 | Symbols:  | Translation elongation  factor EF1B/ribosomal protein S6 family protein | chr1:23954993-23956205 REVERSE LENGTH=207

>AT1G30610 | Symbols: EMB88, EMB2279 | pentatricopeptide (PPR) repeat-containing protein | chr1:10846676-10850517 FORWARD LENGTH=1006

>AT1G72840 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) | chr1:27410020-27413485 REVERSE LENGTH=1042

>AT1G52450 | Symbols:  | Ubiquitin carboxyl-terminal hydrolase-related protein | chr1:19541684-19546266 REVERSE LENGTH=1136

>AT1G79330 | Symbols: AMC6, ATMCP2B, ATMC5, MC5 | metacaspase 5 | chr1:29838722-29840137 FORWARD LENGTH=410

>AT1G52470 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:19553347-19555357 FORWARD LENGTH=235

>AT1G30620 | Symbols: HSR8, MUR4, UXE1 | NAD(P)-binding Rossmann-fold superfamily protein | chr1:10855496-10857970 FORWARD LENGTH=419

>AT1G48980 | Symbols:  | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr1:18118715-18120511 FORWARD LENGTH=331

>AT1G72680 | Symbols: ATCAD1, CAD1 | cinnamyl-alcohol dehydrogenase | chr1:27359346-27360876 REVERSE LENGTH=355

>AT1G72670 | Symbols: iqd8 | IQ-domain 8 | chr1:27356898-27358657 REVERSE LENGTH=414

>AT1G52460 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:19549368-19551184 FORWARD LENGTH=230

>AT1G58440 | Symbols: XF1, SQE1 | FAD/NAD(P)-binding oxidoreductase family protein | chr1:21714094-21717246 REVERSE LENGTH=531

>AT1G30640 | Symbols:  | Protein kinase family protein | chr1:10861297-10864700 FORWARD LENGTH=562

>AT1G26320 | Symbols:  | Zinc-binding dehydrogenase family protein | chr1:9105240-9107029 FORWARD LENGTH=351

>AT1G10090 | Symbols:  | Early-responsive to dehydration stress protein (ERD4) | chr1:3290572-3295271 REVERSE LENGTH=762

>AT1G30650 | Symbols: WRKY14, ATWRKY14, AR411 | WRKY DNA-binding protein 14 | chr1:10868612-10870973 FORWARD LENGTH=430

>AT1G40390 | Symbols:  | DNAse I-like superfamily protein | chr1:15432576-15434674 REVERSE LENGTH=426

>AT1G72740 | Symbols:  | Homeodomain-like/winged-helix DNA-binding family protein | chr1:27380499-27382687 REVERSE LENGTH=287

>AT1G23910 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:8451068-8451289 REVERSE LENGTH=73

>AT1G22060 | Symbols:  | LOCATED IN: vacuole; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: FBD, F-box and Leucine Rich Repeat domains containing protein (TAIR:AT1G22000.1); Has 84739 Blast hits to 38714 proteins in 2257 species: Archae - 1436; Bacteria - 11314; Metazoa - 40747; Fungi - 7706; Plants - 4675; Viruses - 308; Other Eukaryotes - 18553 (source: NCBI BLink). | chr1:7773373-7780586 REVERSE LENGTH=1999

>AT1G22050 | Symbols: MUB6 | membrane-anchored ubiquitin-fold protein 6 precursor | chr1:7771897-7772843 FORWARD LENGTH=119

>AT1G10070 | Symbols: ATBCAT-2, BCAT-2 | branched-chain amino acid transaminase 2 | chr1:3288255-3290164 FORWARD LENGTH=388

>AT1G23935 | Symbols:  | CONTAINS InterPro DOMAIN/s: Apoptosis inhibitory 5 (InterPro:IPR008383); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G19515.2); Has 219 Blast hits to 219 proteins in 67 species: Archae - 0; Bacteria - 0; Metazoa - 128; Fungi - 0; Plants - 77; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink). | chr1:8461939-8465943 FORWARD LENGTH=726

>AT1G10095 | Symbols:  | Protein prenylyltransferase superfamily protein | chr1:3297478-3300353 REVERSE LENGTH=420

>AT1G52410 | Symbols: TSA1 | TSK-associating protein 1 | chr1:19520762-19525361 FORWARD LENGTH=755

>AT1G23940 | Symbols:  | ARM repeat superfamily protein | chr1:8466094-8469346 FORWARD LENGTH=495

>AT1G52400 | Symbols: BGL1, BGLU18, ATBG1 | beta glucosidase 18 | chr1:19515250-19517930 FORWARD LENGTH=528

>AT1G72750 | Symbols: ATTIM23-2, TIM23-2 | translocase inner membrane subunit 23-2 | chr1:27383577-27384143 FORWARD LENGTH=188

>AT1G22030 | Symbols:  | CONTAINS InterPro DOMAIN/s: Protein BYPASS related (InterPro:IPR008511); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G77855.1); Has 99 Blast hits to 99 proteins in 17 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 0; Plants - 96; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:7759337-7760415 REVERSE LENGTH=333

>AT1G22040 | Symbols:  | Galactose oxidase/kelch repeat superfamily protein | chr1:7768370-7769797 FORWARD LENGTH=475

>AT1G30660 | Symbols:  | nucleic acid binding;nucleic acid binding | chr1:10876853-10879017 FORWARD LENGTH=337

>AT1G62810 | Symbols:  | Copper amine oxidase family protein | chr1:23258253-23261772 REVERSE LENGTH=712

>AT1G16890 | Symbols: UBC36, UBC13B | ubiquitin-conjugating enzyme 36 | chr1:5776550-5777903 REVERSE LENGTH=120

>AT1G64500 | Symbols:  | Glutaredoxin family protein | chr1:23953270-23954376 FORWARD LENGTH=368

>AT1G58370 | Symbols: RXF12, ATXYN1 | glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein | chr1:21684751-21688209 FORWARD LENGTH=917

>AT1G22070 | Symbols: TGA3 | TGA1A-related gene 3 | chr1:7789651-7791821 FORWARD LENGTH=384

>AT1G22090 | Symbols: emb2204 | Protein of unknown function (DUF626) | chr1:7795721-7797252 FORWARD LENGTH=329

>AT1G52440 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:19538821-19540700 FORWARD LENGTH=200

>AT1G01160 | Symbols: GIF2 | GRF1-interacting factor 2 | chr1:72583-73883 FORWARD LENGTH=195

>AT1G58400 | Symbols:  | Disease resistance protein (CC-NBS-LRR class) family | chr1:21696165-21699118 REVERSE LENGTH=900

>AT1G01150 | Symbols:  | Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain | chr1:70115-71998 REVERSE LENGTH=345

>AT1G58420 | Symbols:  | Uncharacterised conserved protein UCP031279 | chr1:21707407-21707946 FORWARD LENGTH=179

>AT1G58410 | Symbols:  | Disease resistance protein (CC-NBS-LRR class) family | chr1:21701286-21704255 REVERSE LENGTH=899

>AT1G22100 | Symbols:  | Inositol-pentakisphosphate 2-kinase family protein | chr1:7798023-7800030 REVERSE LENGTH=441

>AT1G58430 | Symbols: RXF26 | GDSL-like Lipase/Acylhydrolase family protein | chr1:21711684-21712992 REVERSE LENGTH=360

>AT1G72730 | Symbols:  | DEA(D/H)-box RNA helicase family protein | chr1:27378040-27379593 REVERSE LENGTH=414

>AT1G72720 | Symbols:  | Protein of unknown function (DUF3511) | chr1:27376903-27377286 REVERSE LENGTH=127

>AT1G23900 | Symbols: GAMMA-ADAPTIN 1, Gamma-ADR | gamma-adaptin 1 | chr1:8441379-8447152 FORWARD LENGTH=876

>AT1G79340 | Symbols: AtMC4, MC4 | metacaspase 4 | chr1:29842849-29844368 FORWARD LENGTH=418

>AT1G52415 | Symbols:  | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | chr1:19526166-19526686 FORWARD LENGTH=116

>AT1G10060 | Symbols: ATBCAT-1, BCAT-1 | branched-chain amino acid transaminase 1 | chr1:3284445-3286577 FORWARD LENGTH=309

>AT1G52420 | Symbols:  | UDP-Glycosyltransferase superfamily protein | chr1:19528667-19531035 FORWARD LENGTH=670

>AT1G22080 | Symbols:  | Cysteine proteinases superfamily protein | chr1:7792404-7794089 REVERSE LENGTH=332

>AT1G58380 | Symbols: XW6 | Ribosomal protein S5 family protein | chr1:21689115-21690085 FORWARD LENGTH=284

>AT1G52430 | Symbols:  | Ubiquitin carboxyl-terminal hydrolase-related protein | chr1:19531350-19535955 REVERSE LENGTH=1136

>AT1G58390 | Symbols:  | Disease resistance protein (CC-NBS-LRR class) family | chr1:21690962-21693891 REVERSE LENGTH=907

>AT1G52390 | Symbols:  | unknown protein; Has 7 Blast hits to 7 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 7; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:19511968-19512234 REVERSE LENGTH=71

>AT1G01120 | Symbols: KCS1 | 3-ketoacyl-CoA synthase 1 | chr1:57392-58978 REVERSE LENGTH=528

>AT1G78500 | Symbols:  | Terpenoid cyclases family protein | chr1:29531646-29535177 FORWARD LENGTH=767

>AT1G22110 | Symbols:  | structural constituent of ribosome | chr1:7801625-7802473 REVERSE LENGTH=282

>AT1G22120 | Symbols:  | unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr1:7806655-7809632 REVERSE LENGTH=462

>AT1G26460 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:9151816-9154407 FORWARD LENGTH=630

>AT1G26470 | Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: regulation of transcription; LOCATED IN: nucleus, H4/H2A histone acetyltransferase complex; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: CT20 (InterPro:IPR012423); Has 60 Blast hits to 60 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 26; Fungi - 2; Plants - 30; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr1:9155134-9156036 FORWARD LENGTH=133

>AT1G79310 | Symbols: AtMC7, MC7 | metacaspase 7 | chr1:29833986-29835412 FORWARD LENGTH=403

>AT1G26450 | Symbols:  | Carbohydrate-binding X8 domain superfamily protein | chr1:9149003-9150063 REVERSE LENGTH=197

>AT1G26480 | Symbols: GRF12, GF14 IOTA | general regulatory factor 12 | chr1:9156573-9157845 REVERSE LENGTH=268

>AT1G01060 | Symbols: LHY, LHY1 | Homeodomain-like superfamily protein | chr1:33992-37061 REVERSE LENGTH=645

>AT1G16920 | Symbols: RAB11, ATRABA1B, RABA1b | RAB GTPase homolog A1B | chr1:5787489-5789147 REVERSE LENGTH=216

>AT1G16910 | Symbols: LSH8 | Protein of unknown function (DUF640) | chr1:5785373-5785867 FORWARD LENGTH=164

>AT1G26420 | Symbols:  | FAD-binding Berberine family protein | chr1:9141715-9143304 REVERSE LENGTH=529

>AT1G79320 | Symbols: AtMC6, MC6 | metacaspase 6 | chr1:29836686-29837908 FORWARD LENGTH=368

>AT1G26410 | Symbols:  | FAD-binding Berberine family protein | chr1:9138774-9140432 REVERSE LENGTH=552

>AT1G30540 | Symbols:  | Actin-like ATPase superfamily protein | chr1:10816951-10819172 REVERSE LENGTH=351

>AT1G49030 | Symbols:  | PLAC8 family protein | chr1:18136794-18137846 FORWARD LENGTH=224

>AT1G09995 | Symbols:  | DNA repair DEAD helicase RAD3/XP-D subfamily protein | chr1:3262750-3263458 REVERSE LENGTH=88

>AT1G26440 | Symbols: ATUPS5, UPS5 | ureide permease 5 | chr1:9144109-9145673 REVERSE LENGTH=413

>AT1G72650 | Symbols: TRFL6 | TRF-like 6 | chr1:27350253-27353483 FORWARD LENGTH=624

>AT1G30550 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:10820838-10823641 REVERSE LENGTH=455

>AT1G26500 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:9158380-9159897 FORWARD LENGTH=505

>AT1G26510 | Symbols:  | F-box associated ubiquitination effector family protein | chr1:9159851-9161044 REVERSE LENGTH=397

>AT1G01050 | Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31382-32670 REVERSE LENGTH=212

>AT1G52580 | Symbols: ATRBL5, RBL5 | RHOMBOID-like protein 5 | chr1:19587637-19588958 FORWARD LENGTH=309

>AT1G72640 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:27346409-27348147 REVERSE LENGTH=312

>AT1G01040 | Symbols: DCL1, CAF, SUS1, SIN1, ASU1, EMB76, EMB60, ATDCL1 | dicer-like 1 | chr1:23519-31079 FORWARD LENGTH=1909

>AT1G18910 | Symbols:  | zinc ion binding;zinc ion binding | chr1:6532706-6537993 REVERSE LENGTH=1254

>AT1G09970 | Symbols: LRR XI-23, RLK7 | Leucine-rich receptor-like protein kinase family protein | chr1:3252408-3255428 FORWARD LENGTH=976

>AT1G72630 | Symbols: ELF4-L2 | ELF4-like 2 | chr1:27344988-27345347 FORWARD LENGTH=119

>AT1G22140 | Symbols:  | unknown protein; Has 40 Blast hits to 40 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 9; Fungi - 0; Plants - 28; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink). | chr1:7815158-7815577 REVERSE LENGTH=72

>AT1G01070 | Symbols:  | nodulin MtN21 /EamA-like transporter family protein | chr1:38898-40597 REVERSE LENGTH=318

>AT1G52570 | Symbols: PLDALPHA2 | phospholipase D alpha 2 | chr1:19583940-19586551 REVERSE LENGTH=810

>AT1G52565 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G15760.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr1:19580061-19580511 REVERSE LENGTH=129

>AT1G72645 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr1:27348612-27348869 FORWARD LENGTH=85

>AT1G16930 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:5789987-5791534 FORWARD LENGTH=449

>AT1G09980 | Symbols:  | Putative serine esterase  family protein | chr1:3256541-3260866 REVERSE LENGTH=802

>AT1G18900 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:6529778-6532360 FORWARD LENGTH=860

>AT1G30530 | Symbols: UGT78D1 | UDP-glucosyl transferase 78D1 | chr1:10814917-10816374 FORWARD LENGTH=453

>AT1G52550 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G15780.1); Has 53 Blast hits to 51 proteins in 18 species: Archae - 0; Bacteria - 8; Metazoa - 4; Fungi - 0; Plants - 23; Viruses - 8; Other Eukaryotes - 10 (source: NCBI BLink). | chr1:19573185-19573999 REVERSE LENGTH=131

>AT1G52560 | Symbols:  | HSP20-like chaperones superfamily protein | chr1:19574783-19575766 REVERSE LENGTH=232

>AT1G22130 | Symbols: AGL104 | AGAMOUS-like 104 | chr1:7812387-7814259 REVERSE LENGTH=335

>AT1G58725 | Symbols:  | GDSL-like Lipase/Acylhydrolase superfamily protein | chr1:21771935-21773365 REVERSE LENGTH=349

>AT1G26400 | Symbols:  | FAD-binding Berberine family protein | chr1:9133291-9134874 REVERSE LENGTH=527

>AT1G10010 | Symbols: AAP8, ATAAP8 | amino acid permease 8 | chr1:3265976-3268726 FORWARD LENGTH=475

>AT1G52520 | Symbols: FRS6 | FAR1-related sequence 6 | chr1:19565933-19568248 FORWARD LENGTH=703

>AT1G30580 | Symbols:  | GTP binding | chr1:10831953-10835454 REVERSE LENGTH=394

>AT1G64480 | Symbols: CBL8 | calcineurin B-like protein 8 | chr1:23948028-23949751 REVERSE LENGTH=214

>AT1G78510 | Symbols: SPS1 | solanesyl diphosphate synthase 1 | chr1:29535410-29537163 REVERSE LENGTH=406

>AT1G49000 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: stem; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G18560.1); Has 105 Blast hits to 105 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 105; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:18123559-18124029 REVERSE LENGTH=156

>AT1G10000 | Symbols:  | Ribonuclease H-like superfamily protein | chr1:3263877-3264788 REVERSE LENGTH=303

>AT1G52530 | Symbols:  | CONTAINS InterPro DOMAIN/s: Hus1-like protein (InterPro:IPR007150); Has 129 Blast hits to 128 proteins in 49 species: Archae - 0; Bacteria - 0; Metazoa - 57; Fungi - 10; Plants - 47; Viruses - 0; Other Eukaryotes - 15 (source: NCBI BLink). | chr1:19569045-19570004 FORWARD LENGTH=319

>AT1G58520 | Symbols: RXW8 | lipases;hydrolases, acting on ester bonds | chr1:21729913-21738165 FORWARD LENGTH=1041

>AT1G10020 | Symbols:  | Protein of unknown function (DUF1005) | chr1:3269939-3271732 REVERSE LENGTH=461

>AT1G10030 | Symbols: ERG28 | homolog of yeast ergosterol28 | chr1:3273972-3275631 FORWARD LENGTH=129

>AT1G10040 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:3276108-3278464 REVERSE LENGTH=412

>AT1G10050 | Symbols:  | glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein | chr1:3279270-3283444 FORWARD LENGTH=1063

>AT1G58470 | Symbols: ATRBP1, RBP1 | RNA-binding protein 1 | chr1:21727374-21728539 FORWARD LENGTH=360

>AT1G64490 | Symbols:  | DEK, chromatin associated protein | chr1:23952166-23952540 FORWARD LENGTH=124

>AT1G30590 | Symbols:  | RNA polymerase I specific transcription initiation factor RRN3 protein | chr1:10835976-10839524 REVERSE LENGTH=604

>AT1G01110 | Symbols: IQD18 | IQ-domain 18 | chr1:53022-54494 FORWARD LENGTH=364

>AT1G52510 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:19563039-19565260 REVERSE LENGTH=380

>AT1G48990 | Symbols:  | Oleosin family protein | chr1:18121470-18121979 FORWARD LENGTH=169

>AT1G30570 | Symbols: HERK2 | hercules receptor kinase 2 | chr1:10828933-10831482 FORWARD LENGTH=849

>AT1G01090 | Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428

>AT1G58643 | Symbols:  | Inositol-pentakisphosphate 2-kinase family protein | chr1:21767342-21769456 FORWARD LENGTH=486

>AT1G64440 | Symbols: RHD1, REB1, UGE4 | NAD(P)-binding Rossmann-fold superfamily protein | chr1:23937102-23939565 FORWARD LENGTH=348

>AT1G49015 | Symbols:  | DPP6 N-terminal domain-like protein | chr1:18134528-18135312 FORWARD LENGTH=227

>AT1G50000 | Symbols:  | methyltransferases | chr1:18515183-18517244 REVERSE LENGTH=296

>AT1G16900 | Symbols:  | Alg9-like mannosyltransferase family | chr1:5779262-5782303 REVERSE LENGTH=570

>AT1G01080 | Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:45503-46789 REVERSE LENGTH=293

>AT1G58684 | Symbols:  | Ribosomal protein S5 family protein | chr1:21770021-21771217 REVERSE LENGTH=284

>AT1G72660 | Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:27354161-27356543 FORWARD LENGTH=399

>AT1G01100 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112

>AT1G49010 | Symbols:  | Duplicated homeodomain-like superfamily protein | chr1:18132714-18133778 FORWARD LENGTH=314

>AT1G49810 | Symbols: ATNHD2, NHD2 | Na+/H+ antiporter 2 | chr1:18440013-18442237 REVERSE LENGTH=420

>AT1G64470 | Symbols:  | Ubiquitin-like superfamily protein | chr1:23944785-23945426 REVERSE LENGTH=213

>AT1G49990 | Symbols:  | F-box family protein | chr1:18513696-18514988 FORWARD LENGTH=430

>AT1G52540 | Symbols:  | Protein kinase superfamily protein | chr1:19570298-19571884 REVERSE LENGTH=350

>AT1G49005 | Symbols: CLE11 | CLAVATA3/ESR-RELATED 11 | chr1:18128686-18128985 REVERSE LENGTH=99

>AT1G30560 | Symbols:  | Major facilitator superfamily protein | chr1:10824761-10826293 FORWARD LENGTH=510

>AT1G58602 | Symbols:  | LRR and NB-ARC domains-containing disease resistance protein | chr1:21760167-21763765 FORWARD LENGTH=1138

>AT1G64460 | Symbols:  | Protein kinase superfamily protein | chr1:23943688-23944680 REVERSE LENGTH=301

>AT1G64450 | Symbols:  | Glycine-rich protein family | chr1:23941758-23942786 REVERSE LENGTH=342

>AT1G79540 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:29920334-29922676 REVERSE LENGTH=780

>AT1G24130 | Symbols:  | Transducin/WD40 repeat-like superfamily protein | chr1:8534183-8535430 REVERSE LENGTH=415

>AT1G30670 | Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:10879311-10880188 REVERSE LENGTH=264

>AT1G33360 | Symbols:  | ATP-dependent Clp protease | chr1:12092111-12095789 FORWARD LENGTH=656

>AT1G10180 | Symbols:  | BEST Arabidopsis thaliana protein match is: exocyst complex component 84B (TAIR:AT5G49830.1); Has 132 Blast hits to 132 proteins in 25 species: Archae - 0; Bacteria - 0; Metazoa - 7; Fungi - 0; Plants - 117; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink). | chr1:3338381-3341494 REVERSE LENGTH=769

>AT1G52320 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF632 (InterPro:IPR006867); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF630 and DUF632) (TAIR:AT5G25590.1); Has 517 Blast hits to 513 proteins in 62 species: Archae - 6; Bacteria - 6; Metazoa - 50; Fungi - 2; Plants - 427; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink). | chr1:19485399-19487204 FORWARD LENGTH=472

>AT1G48920 | Symbols: ATNUC-L1, PARL1, NUC-L1 | nucleolin like 1 | chr1:18098186-18101422 FORWARD LENGTH=557

>AT1G01320 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1797

>AT1G78410 | Symbols:  | VQ motif-containing protein | chr1:29502728-29503054 FORWARD LENGTH=108

>AT1G73790 | Symbols:  | Protein of unknown function (DUF3743) | chr1:27745019-27745222 FORWARD LENGTH=67

>AT1G01310 | Symbols:  | CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein | chr1:120221-120946 FORWARD LENGTH=241

>AT1G58280 | Symbols:  | Phosphoglycerate mutase family protein | chr1:21620497-21622468 REVERSE LENGTH=318

>AT1G48910 | Symbols: YUC10 | Flavin-containing monooxygenase family protein | chr1:18091681-18093774 FORWARD LENGTH=383

>AT1G78400 | Symbols:  | Pectin lyase-like superfamily protein | chr1:29498281-29499682 REVERSE LENGTH=404

>AT1G80490 | Symbols: TPR1 | TOPLESS-related 1 | chr1:30261094-30266446 REVERSE LENGTH=1119

>AT1G52300 | Symbols:  | Zinc-binding ribosomal protein family protein | chr1:19475213-19476152 REVERSE LENGTH=95

>AT1G01300 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485

>AT1G52310 | Symbols:  | protein kinase family protein / C-type lectin domain-containing protein | chr1:19478401-19480462 FORWARD LENGTH=552

>AT1G52315 | Symbols:  | Regulator of Vps4 activity in the MVB pathway protein | chr1:19481212-19482674 FORWARD LENGTH=347

>AT1G58270 | Symbols: ZW9 | TRAF-like family protein | chr1:21612394-21614089 REVERSE LENGTH=396

>AT1G78390 | Symbols: NCED9, ATNCED9 | nine-cis-epoxycarotenoid dioxygenase 9 | chr1:29490895-29492868 REVERSE LENGTH=657

>AT1G80480 | Symbols: PTAC17 | plastid transcriptionally active 17 | chr1:30258272-30260570 REVERSE LENGTH=444

>AT1G01290 | Symbols: CNX3 | cofactor of nitrate reductase and xanthine dehydrogenase 3 | chr1:114299-115296 FORWARD LENGTH=270

>AT1G10170 | Symbols: ATNFXL1, NFXL1 | NF-X-like 1 | chr1:3333925-3337491 REVERSE LENGTH=1188

>AT1G30790 | Symbols:  | F-box and associated interaction domains-containing protein | chr1:10932713-10933912 FORWARD LENGTH=399

>AT1G30795 | Symbols:  | Glycine-rich protein family | chr1:10935831-10936160 FORWARD LENGTH=109

>AT1G01260 | Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:109595-111367 FORWARD LENGTH=590

>AT1G49980 | Symbols:  | DNA/RNA polymerases superfamily protein | chr1:18508026-18512111 FORWARD LENGTH=671

>AT1G58310 | Symbols:  | F-box/RNI-like superfamily protein | chr1:21631947-21633642 FORWARD LENGTH=505

>AT1G52340 | Symbols: ABA2, SIS4, GIN1, SDR1, ISI4, SRE1, ATABA2, ATSDR1 | NAD(P)-binding Rossmann-fold superfamily protein | chr1:19489997-19491527 REVERSE LENGTH=285

>AT1G01250 | Symbols:  | Integrase-type DNA-binding superfamily protein | chr1:104731-105309 REVERSE LENGTH=192

>AT1G10155 | Symbols: ATPP2-A10, PP2-A10 | phloem protein 2-A10 | chr1:3327637-3328448 REVERSE LENGTH=184

